Date,Location,Classification,Count
06/28/2021,Bronx,Cases,29
06/29/2021,Bronx,Cases,32
06/30/2021,Bronx,Cases,30
07/01/2021,Bronx,Cases,27
07/02/2021,Bronx,Cases,33
07/03/2021,Bronx,Cases,18
07/04/2021,Bronx,Cases,14
07/05/2021,Bronx,Cases,20
07/06/2021,Bronx,Cases,48
07/07/2021,Bronx,Cases,49
07/08/2021,Bronx,Cases,50
07/09/2021,Bronx,Cases,56
07/10/2021,Bronx,Cases,37
07/11/2021,Bronx,Cases,33
07/12/2021,Bronx,Cases,69
07/13/2021,Bronx,Cases,43
07/14/2021,Bronx,Cases,59
07/15/2021,Bronx,Cases,71
07/16/2021,Bronx,Cases,73
07/17/2021,Bronx,Cases,59
07/18/2021,Bronx,Cases,36
07/19/2021,Bronx,Cases,110
07/20/2021,Bronx,Cases,94
07/21/2021,Bronx,Cases,128
07/22/2021,Bronx,Cases,136
07/23/2021,Bronx,Cases,127
07/24/2021,Bronx,Cases,58
07/25/2021,Bronx,Cases,68
07/26/2021,Bronx,Cases,155
07/27/2021,Bronx,Cases,141
07/28/2021,Bronx,Cases,188
07/29/2021,Bronx,Cases,174
07/30/2021,Bronx,Cases,160
07/31/2021,Bronx,Cases,126
08/01/2021,Bronx,Cases,92
08/02/2021,Bronx,Cases,237
08/03/2021,Bronx,Cases,232
08/04/2021,Bronx,Cases,214
08/05/2021,Bronx,Cases,208
08/06/2021,Bronx,Cases,210
08/07/2021,Bronx,Cases,179
08/08/2021,Bronx,Cases,156
08/09/2021,Bronx,Cases,290
08/10/2021,Bronx,Cases,265
08/11/2021,Bronx,Cases,262
08/12/2021,Bronx,Cases,232
08/13/2021,Bronx,Cases,266
08/14/2021,Bronx,Cases,146
08/15/2021,Bronx,Cases,140
08/16/2021,Bronx,Cases,328
08/17/2021,Bronx,Cases,296
08/18/2021,Bronx,Cases,273
08/19/2021,Bronx,Cases,264
08/20/2021,Bronx,Cases,284
08/21/2021,Bronx,Cases,180
08/22/2021,Bronx,Cases,104
08/23/2021,Bronx,Cases,289
08/24/2021,Bronx,Cases,300
08/25/2021,Bronx,Cases,286
08/26/2021,Bronx,Cases,252
08/27/2021,Bronx,Cases,242
08/28/2021,Bronx,Cases,173
08/29/2021,Bronx,Cases,138
08/30/2021,Bronx,Cases,305
